Name,GP,Min,Pts,FG,FGA,2Pt,2PtA,3Pt,3PtA,3P%,FTM,FTA,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,Team,Year
Nikola Mirotic,31,24.1,12.4,3.9,7.6,2.5,4.8,1.3,2.9,46.1,3.3,4.1,1.3,3.3,4.6,1.2,1.1,0.8,1.1,2.0,Real Madrid,2014
Sergio Rodriguez,31,22.4,14.0,4.6,9.2,2.4,4.7,2.2,4.5,50.0,2.5,2.7,0.3,1.7,2.0,4.9,1.2,0.1,2.5,1.7,Real Madrid,2014
Yiannis Bouroussis,29,21.1,8.3,3.0,5.6,2.6,4.4,0.4,1.2,35.3,2.0,2.4,1.8,4.2,6.0,0.9,0.4,0.8,1.0,2.2,Real Madrid,2014
Tremmell Darden,31,19.9,5.7,2.2,4.7,1.3,2.9,0.8,1.8,45.6,0.6,0.8,0.4,2.1,2.5,0.8,0.3,0.5,0.4,1.3,Real Madrid,2014
Felipe Reyes,30,16.4,9.1,2.9,6.2,2.6,5.4,0.2,0.8,30.4,3.1,3.7,2.0,2.9,4.9,0.7,0.3,0.2,1.0,2.8,Real Madrid,2014
Jaycee Carroll,16,13.8,7.1,2.5,5.6,0.9,1.8,1.6,3.9,40.3,0.5,0.6,0.3,1.3,1.5,0.8,0.4,0.0,0.8,1.0,Real Madrid,2014
Marcus Slaughter,31,12.4,3.2,1.4,2.0,1.4,1.9,0.0,0.1,0.0,0.5,1.1,0.8,1.5,2.4,0.5,0.6,0.3,0.5,2.1,Real Madrid,2014
Dontaye Draper,20,11.4,1.7,0.6,2.0,0.2,0.9,0.4,1.1,33.3,0.3,0.3,0.1,0.7,0.7,1.3,0.8,0.0,0.5,1.5,Real Madrid,2014
Salah Mejri,26,10.0,3.5,1.5,2.5,1.4,2.3,0.1,0.1,66.7,0.5,0.8,1.0,1.9,2.9,0.1,0.4,1.1,0.4,1.5,Real Madrid,2014
Daniel Diez,24,7.9,1.8,0.8,1.7,0.6,1.0,0.2,0.6,26.7,0.0,0.2,0.3,0.5,0.8,0.3,0.3,0.0,0.3,0.6,Real Madrid,2014
Alberto Martin,2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,Real Madrid,2014
Jonathan Barreiro,2,1.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,Real Madrid,2014
Rudy Fernandez,27,27.2,13.7,4.4,10.2,2.4,4.5,1.9,5.7,33.8,3.0,3.7,0.9,3.0,3.9,3.1,1.5,0.4,1.6,1.9,Real Madrid,2013
Sergio Llull,27,27.0,10.4,3.5,8.7,1.9,4.1,1.6,4.6,33.9,1.9,2.4,0.5,1.8,2.3,3.2,0.6,0.1,1.7,2.0,Real Madrid,2013
Nikola Mirotic,29,24.9,11.4,3.9,8.1,3.0,5.4,0.9,2.8,32.5,2.8,3.2,1.6,3.7,5.3,0.9,0.7,0.9,1.6,2.4,Real Madrid,2013
Jaycee Carroll,29,21.5,11.9,4.3,9.1,2.5,4.7,1.9,4.4,42.5,1.3,1.5,0.8,2.1,2.9,0.6,0.6,0.1,0.6,1.5,Real Madrid,2013
Marcus Slaughter,29,19.2,5.0,2.2,3.3,2.2,3.3,0.0,0.0,,0.6,1.5,1.5,2.1,3.6,0.4,0.9,0.7,0.8,2.7,Real Madrid,2013
Felipe Reyes,29,18.2,7.6,2.7,5.8,2.5,5.2,0.2,0.6,29.4,2.1,2.9,2.0,3.0,5.1,0.5,0.5,0.3,1.2,3.0,Real Madrid,2013
Sergio Rodriguez,29,18.2,7.5,2.7,7.1,1.7,3.8,1.0,3.3,29.5,1.2,1.4,0.2,1.6,1.8,3.9,0.7,0.0,1.6,1.9,Real Madrid,2013
Carlos Suarez,29,17.0,3.6,1.3,3.3,0.8,1.6,0.5,1.7,28.0,0.6,0.9,0.8,2.2,3.0,1.3,0.3,0.1,0.5,1.2,Real Madrid,2013
Mirza Begic,29,12.8,5.0,2.0,3.8,2.0,3.8,0.0,0.0,,0.9,1.5,1.6,1.8,3.4,0.3,0.2,0.9,0.7,2.2,Real Madrid,2013
Dontaye Draper,26,10.8,1.9,0.6,2.4,0.3,1.3,0.3,1.1,25.0,0.4,0.5,0.2,1.0,1.1,1.0,0.7,0.1,0.6,1.3,Real Madrid,2013
Martynas Pocius,12,10.2,3.2,1.1,2.9,0.8,1.3,0.3,1.6,21.1,0.7,0.7,0.3,0.5,0.8,0.3,0.3,0.0,0.3,0.9,Real Madrid,2013
Rafael Hettsheimeir,17,8.6,3.4,1.3,2.6,1.2,2.2,0.1,0.4,33.3,0.6,0.8,0.9,1.2,2.1,0.4,0.1,0.3,0.4,1.7,Real Madrid,2013
Guillermo Hernangomez,3,4.7,1.3,0.7,2.3,0.7,2.3,0.0,0.0,,0.0,0.0,0.7,0.3,1.0,0.0,0.0,0.0,0.3,1.7,Real Madrid,2013
Rudy Fernandez,8,25.0,11.5,3.8,9.8,1.9,3.9,1.9,5.9,31.9,2.1,2.4,0.5,2.6,3.1,2.3,1.3,0.1,1.5,2.0,Real Madrid,2012
Kyle Singler,8,23.1,8.1,3.1,6.8,2.5,5.1,0.6,1.6,38.5,1.3,2.0,1.4,2.9,4.3,0.8,0.4,0.4,1.5,2.6,Real Madrid,2012
Nikola Mirotic,16,23.1,12.5,3.9,7.5,2.8,4.9,1.1,2.6,43.9,3.5,3.8,0.9,3.6,4.5,0.9,0.8,0.4,1.3,2.2,Real Madrid,2012
Jaycee Carroll,16,22.4,14.2,4.9,9.8,2.6,5.3,2.3,4.5,51.4,2.0,2.3,1.0,1.6,2.6,0.8,0.1,0.2,1.1,1.8,Real Madrid,2012
Sergio Llull,16,22.2,7.4,2.6,6.0,1.8,3.3,0.8,2.8,29.5,1.4,2.0,0.4,1.1,1.5,3.2,0.6,0.0,1.4,2.1,Real Madrid,2012
Sergio Rodriguez,16,20.1,7.4,2.5,5.1,1.6,3.1,0.9,2.0,46.9,1.4,1.8,0.1,1.4,1.5,5.4,0.8,0.0,2.3,1.9,Real Madrid,2012
Felipe Reyes,16,18.5,8.4,2.8,5.9,2.8,5.9,0.0,0.0,,2.9,3.6,2.6,3.7,6.3,0.6,0.6,0.2,0.8,3.1,Real Madrid,2012
Carlos Suarez,16,18.4,4.6,1.7,4.1,1.1,1.8,0.6,2.3,24.3,0.7,0.8,0.7,1.9,2.6,1.3,0.9,0.2,0.8,1.4,Real Madrid,2012
Martynas Pocius,14,15.1,7.4,2.4,6.0,1.9,3.7,0.6,2.3,25.0,2.0,2.2,0.2,1.4,1.6,0.9,0.2,0.1,1.0,1.4,Real Madrid,2012
Serge Ibaka,6,15.0,5.5,2.0,3.5,2.0,3.5,0.0,0.0,,1.5,1.8,1.8,2.8,4.7,0.0,0.5,2.0,0.7,2.2,Real Madrid,2012
Ante Tomic,15,14.6,6.7,2.9,5.4,2.9,5.4,0.0,0.0,,0.9,1.3,1.2,2.5,3.7,0.7,0.1,0.6,0.9,2.4,Real Madrid,2012
Mirza Begic,15,14.2,4.6,2.0,3.7,2.0,3.7,0.0,0.0,,0.6,0.9,1.7,3.0,4.7,0.4,0.1,1.7,0.9,2.3,Real Madrid,2012
Novica Velickovic,7,11.6,4.1,1.7,4.1,1.3,2.7,0.4,1.4,30.0,0.3,1.1,0.7,1.1,1.9,1.6,0.7,0.1,0.4,1.4,Real Madrid,2012
Jorge Sanz,5,1.6,2.2,0.8,1.0,0.2,0.4,0.6,0.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Real Madrid,2012
Sergio Llull,23,28.0,11.9,4.0,9.7,2.5,5.4,1.5,4.3,34.3,2.5,3.0,0.7,1.6,2.3,3.0,0.8,0.1,2.1,2.0,Real Madrid,2011
Pablo Prigioni,18,25.5,5.4,1.7,4.5,0.4,0.9,1.2,3.6,34.4,0.9,1.2,0.5,2.1,2.6,3.4,1.4,0.0,1.2,2.1,Real Madrid,2011
Carlos Suarez,23,23.5,6.5,1.9,5.3,0.8,2.0,1.1,3.3,32.9,1.6,2.0,1.0,3.2,4.3,1.7,0.5,0.1,0.9,1.7,Real Madrid,2011
Clay Tucker,23,23.4,8.7,3.3,9.2,2.2,5.4,1.1,3.7,29.1,1.0,1.3,0.3,2.0,2.3,1.7,0.5,0.2,1.3,2.1,Real Madrid,2011
Ante Tomic,23,21.1,9.9,4.2,8.3,4.2,8.3,0.0,0.0,,1.6,2.3,2.0,3.3,5.3,1.1,0.6,0.6,1.7,2.8,Real Madrid,2011
Felipe Reyes,21,19.1,8.7,3.0,7.0,2.9,6.5,0.1,0.5,20.0,2.7,3.2,2.5,3.0,5.5,0.9,0.4,0.2,1.6,2.9,Real Madrid,2011
Sergio Rodriguez,18,18.8,6.1,2.1,5.1,1.9,4.0,0.2,1.1,20.0,1.7,1.8,0.6,1.3,1.9,3.1,0.5,0.0,1.9,1.8,Real Madrid,2011
D'or Fischer,23,18.5,6.2,2.5,4.4,2.5,4.4,0.0,0.0,,1.2,1.3,2.7,3.1,5.9,0.4,0.5,1.4,0.9,2.6,Real Madrid,2011
Jorge Garbajosa,11,16.2,5.4,1.7,4.1,0.8,1.5,0.9,2.6,34.5,1.0,1.3,0.7,2.0,2.7,0.3,0.6,0.5,0.4,1.1,Real Madrid,2011
Nikola Mirotic,20,15.0,6.6,2.4,4.8,1.8,3.3,0.6,1.6,38.7,1.2,1.4,1.1,2.2,3.3,0.6,0.5,0.5,0.7,1.3,Real Madrid,2011
Novica Velickovic,19,12.1,3.4,1.3,3.2,1.2,2.8,0.1,0.3,33.3,0.6,1.4,1.1,1.7,2.8,0.5,0.2,0.2,1.1,1.2,Real Madrid,2011
Sergi Vidal,11,6.5,1.5,0.5,1.5,0.3,0.6,0.2,0.8,22.2,0.4,0.5,0.3,0.7,1.0,0.2,0.3,0.0,0.5,0.1,Real Madrid,2011
Mirza Begic,6,5.3,3.5,1.7,2.3,1.7,2.3,0.0,0.0,,0.2,0.3,0.2,0.5,0.7,0.0,0.2,0.2,0.3,1.3,Real Madrid,2011
Victor Arteaga,1,3.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Real Madrid,2011
Josh Fisher,2,2.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Real Madrid,2011
Jeferson Froehlich,,,,,,,,,,,,,,,,,,,,,Real Madrid,2011
Pablo Prigioni,20,27.7,7.0,2.2,5.1,1.1,1.8,1.1,3.4,32.8,1.6,1.8,0.6,2.0,2.6,4.5,1.5,0.1,1.6,2.2,Real Madrid,2010
Marko Jaric,12,25.8,7.1,2.3,6.2,1.4,4.1,0.9,2.1,44.0,1.5,2.2,0.6,3.6,4.2,1.7,1.3,0.2,1.4,2.6,Real Madrid,2010
Novica Velickovic,16,22.6,7.9,3.2,6.4,2.9,5.6,0.3,0.8,41.7,1.2,2.1,1.8,2.4,4.1,1.8,0.8,0.3,1.6,1.9,Real Madrid,2010
Jorge Garbajosa,20,21.9,8.2,2.8,6.2,1.9,3.6,1.0,2.6,37.3,1.7,2.1,1.0,3.0,4.0,1.1,0.6,0.2,0.9,1.8,Real Madrid,2010
Ante Tomic,9,21.8,11.0,5.0,8.1,5.0,8.1,0.0,0.0,,1.0,1.6,1.8,1.8,3.6,0.9,0.2,1.1,1.7,2.8,Real Madrid,2010
Rimantas Kaukenas,18,21.4,10.3,4.0,7.3,3.3,5.4,0.7,1.9,35.3,1.6,1.9,0.1,1.0,1.1,1.3,0.6,0.0,1.2,2.1,Real Madrid,2010
Sergio Llull,18,21.1,9.5,3.4,6.5,1.8,2.8,1.6,3.7,41.8,1.2,1.6,0.1,1.1,1.2,2.0,1.0,0.1,0.8,2.1,Real Madrid,2010
Darjus Lavrinovic,20,20.0,11.1,3.8,6.5,3.4,5.7,0.4,0.9,41.2,3.3,4.4,1.6,3.0,4.5,1.2,1.0,0.9,1.7,2.0,Real Madrid,2010
Felipe Reyes,14,17.8,7.3,2.5,5.8,2.5,5.7,0.0,0.1,0.0,2.3,2.9,1.1,3.9,5.0,0.9,0.8,0.1,1.6,2.6,Real Madrid,2010
Travis Hansen,17,17.2,4.8,1.5,3.9,0.5,1.5,1.0,2.5,40.5,0.8,0.9,0.5,1.4,1.9,0.6,0.5,0.0,0.6,2.2,Real Madrid,2010
Louis Bullock,18,15.0,6.9,1.9,4.5,1.0,2.1,0.9,2.4,38.6,2.1,2.2,0.1,1.1,1.2,0.6,0.2,0.0,1.0,2.0,Real Madrid,2010
Sergi Vidal,11,12.1,2.2,0.8,1.6,0.5,0.9,0.3,0.7,37.5,0.3,0.5,0.4,0.9,1.3,0.5,0.4,0.0,0.5,0.4,Real Madrid,2010
Vladimir Dasic,4,8.0,3.5,1.3,3.8,0.8,2.0,0.5,1.8,28.6,0.5,0.5,0.3,2.0,2.3,0.5,0.3,0.0,0.5,1.0,Real Madrid,2010
Ignacio De Miguel,3,5.0,0.7,0.0,0.7,0.0,0.7,0.0,0.0,,0.7,0.7,0.0,0.3,0.3,0.3,0.7,0.3,1.0,1.0,Real Madrid,2010
Tomas Van Den Spiegel,2,4.5,1.0,0.5,0.5,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2.0,Real Madrid,2010
Cheick Samb,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Real Madrid,2010
Alberto Jodar,,,,,,,,,,,,,,,,,,,,,Real Madrid,2010
