Name,GP,Min,Pts,FG,FGA,2Pt,2PtA,3Pt,3PtA,3P%,FTM,FTA,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,Team,Year
Martynas Pocius,20,23.2,10.9,3.6,8.7,1.9,3.9,1.7,4.8,35.8,2.0,2.6,0.8,2.1,2.9,2.5,0.4,0.1,1.5,2.2,Zalgiris,2014
Vytenis Lipkevicius,23,21.2,4.7,1.5,3.5,1.0,2.4,0.5,1.1,44.0,1.1,1.3,0.8,1.7,2.6,0.7,0.4,0.0,1.3,2.0,Zalgiris,2014
Arturas Milaknis,24,18.3,6.4,2.3,4.9,0.5,1.0,1.7,4.0,43.2,0.2,0.3,0.4,1.7,2.0,0.7,0.3,0.0,0.5,1.8,Zalgiris,2014
Ksistof Lavrinovic,13,17.5,7.2,2.3,5.9,1.8,3.9,0.5,2.0,23.1,2.2,2.5,0.8,2.5,3.4,1.0,0.4,0.4,1.5,1.5,Zalgiris,2014
Sarunas Jasikevicius,20,16.9,6.7,2.4,5.8,1.4,3.4,1.0,2.4,40.4,1.1,1.1,0.2,0.9,1.1,3.1,0.4,0.1,2.6,1.4,Zalgiris,2014
Tomas Dimsa,15,15.3,3.7,1.3,3.2,0.7,1.7,0.6,1.5,40.9,0.5,0.7,0.7,0.9,1.6,0.6,0.2,0.1,0.6,2.0,Zalgiris,2014
Siim-Sander Vene,5,13.8,3.0,1.2,2.6,1.0,2.2,0.2,0.4,50.0,0.4,0.4,0.6,2.0,2.6,0.6,0.2,0.2,0.6,1.0,Zalgiris,2014
Tadas Klimavicius,22,13.8,4.2,1.7,4.0,1.6,3.2,0.1,0.8,11.1,0.6,1.0,1.5,2.2,3.7,1.2,0.3,0.4,1.0,1.1,Zalgiris,2014
Kaspars Vecvagars,8,10.6,2.5,1.0,2.4,0.8,1.3,0.3,1.1,22.2,0.3,0.4,0.1,0.4,0.5,1.1,0.3,0.0,0.9,1.4,Zalgiris,2014
Arturas Gudaitis,7,10.3,4.4,1.7,2.9,1.7,2.3,0.0,0.6,0.0,1.0,1.6,0.6,2.0,2.6,0.6,0.4,0.7,0.3,1.0,Zalgiris,2014
Vytenis Cizauskas,16,8.9,2.3,0.9,1.9,0.6,1.1,0.3,0.8,41.7,0.1,0.3,0.2,0.9,1.1,1.2,0.4,0.0,1.0,1.5,Zalgiris,2014
Mindaugas Kupsas,15,7.3,2.7,1.1,2.1,1.1,2.1,0.0,0.0,,0.5,0.9,0.1,0.9,1.0,0.3,0.1,0.1,0.5,1.5,Zalgiris,2014
Tauras Jogela,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zalgiris,2014
Paulius Jankunas,17,24.8,8.2,2.8,5.9,2.4,4.5,0.4,1.4,29.2,2.2,2.6,1.4,3.4,4.8,1.2,0.8,0.2,1.8,3.1,Zalgiris,2013
Tremmell Darden,20,24.3,9.9,4.1,6.4,3.3,5.0,0.8,1.5,51.7,1.1,1.5,1.1,2.9,3.9,0.8,0.5,0.2,1.2,1.4,Zalgiris,2013
Marko Popovic,21,24.0,13.4,4.0,8.3,1.8,3.2,2.2,5.1,43.9,3.1,3.6,0.3,1.0,1.4,2.2,0.7,0.0,1.6,2.3,Zalgiris,2013
Ksistof Lavrinovic,24,21.3,8.5,2.8,5.7,2.0,3.5,0.8,2.2,36.5,2.2,2.6,1.4,2.6,4.0,1.0,0.5,0.3,1.2,2.0,Zalgiris,2013
Oliver Lafayette,23,21.2,7.9,2.7,7.3,1.3,3.0,1.4,4.3,32.3,1.2,1.3,0.5,1.6,2.1,2.8,0.9,0.0,1.7,1.7,Zalgiris,2013
Ibrahim Jaaber,14,21.1,5.9,2.1,4.9,1.2,2.4,0.9,2.6,33.3,0.9,1.5,0.4,1.8,2.2,2.2,1.9,0.1,1.2,2.2,Zalgiris,2013
Rimantas Kaukenas,24,20.3,7.8,2.8,7.0,2.3,5.6,0.5,1.3,34.4,1.9,2.1,0.6,1.5,2.1,1.9,0.8,0.0,1.7,2.1,Zalgiris,2013
Darjus Lavrinovic,21,19.7,8.9,3.4,6.7,2.8,4.7,0.7,2.0,33.3,1.4,2.0,1.6,2.2,3.8,1.0,0.7,0.4,1.5,2.5,Zalgiris,2013
Donnie McGrath,6,17.3,4.5,1.5,4.2,0.5,1.7,1.0,2.5,40.0,0.5,0.7,0.0,1.2,1.2,1.5,0.8,0.0,1.7,1.0,Zalgiris,2013
Robertas Javtokas,8,15.0,4.0,1.6,3.0,1.5,2.8,0.1,0.3,50.0,0.6,0.9,1.5,1.4,2.9,0.6,0.1,0.4,0.5,1.9,Zalgiris,2013
Mindaugas Kuzminskas,23,14.2,7.1,2.6,4.9,2.1,3.4,0.5,1.5,32.4,1.5,1.8,1.3,1.8,3.1,0.3,0.5,0.2,1.0,1.3,Zalgiris,2013
Mario Delas,23,13.0,3.0,1.2,3.1,1.0,2.4,0.2,0.7,31.3,0.3,0.7,0.7,1.3,1.9,0.5,0.5,0.1,0.4,1.7,Zalgiris,2013
Jeff Foote,17,10.6,3.6,1.5,2.5,1.5,2.5,0.0,0.0,,0.7,1.0,1.1,1.6,2.6,0.4,0.2,0.5,0.5,0.8,Zalgiris,2013
Vytenis Lipkevicius,14,9.8,1.6,0.6,1.6,0.4,1.1,0.1,0.6,25.0,0.4,0.9,0.4,0.7,1.1,0.1,0.2,0.1,0.5,0.8,Zalgiris,2013
Adas Juskevicius,14,8.9,2.1,0.8,1.9,0.6,1.5,0.2,0.4,50.0,0.4,0.5,0.3,0.9,1.2,0.9,0.1,0.1,0.7,0.4,Zalgiris,2013
Sonny Weems,15,29.9,15.5,6.0,12.7,4.8,9.3,1.2,3.3,36.0,2.3,3.4,0.8,4.2,5.0,1.3,0.9,0.2,2.9,2.3,Zalgiris,2012
Dainius Salenga,6,25.2,6.0,2.3,5.7,1.3,3.0,1.0,2.7,37.5,0.3,0.3,0.7,1.5,2.2,1.5,0.7,0.2,0.7,1.8,Zalgiris,2012
Robertas Javtokas,16,23.4,6.3,2.9,5.9,2.9,5.8,0.0,0.1,0.0,0.5,1.2,2.1,3.1,5.2,0.5,0.2,0.7,1.6,2.7,Zalgiris,2012
Paulius Jankunas,16,23.4,7.8,2.9,6.4,2.4,4.9,0.5,1.5,33.3,1.5,2.1,2.1,3.5,5.6,0.8,0.8,0.3,1.2,2.9,Zalgiris,2012
Marko Popovic,14,22.2,12.5,3.1,7.8,1.1,2.4,2.1,5.4,38.7,4.1,4.6,0.4,1.7,2.1,2.1,0.4,0.0,1.6,3.1,Zalgiris,2012
Mantas Kalnietis,16,22.2,7.6,3.1,7.5,2.4,4.7,0.6,2.8,22.2,0.9,1.4,0.3,2.3,2.5,3.7,0.6,0.1,2.2,1.6,Zalgiris,2012
Ty Lawson,7,21.3,7.4,2.6,6.0,2.1,4.9,0.4,1.1,37.5,1.9,3.0,0.6,2.4,3.0,1.6,0.9,0.0,1.0,1.9,Zalgiris,2012
Milovan Rakovic,16,15.5,7.1,3.0,5.8,3.0,5.8,0.0,0.0,,1.1,1.9,1.0,1.6,2.6,0.4,0.6,0.3,0.9,3.1,Zalgiris,2012
DeJuan Collins,12,15.1,6.3,1.9,4.5,1.1,2.3,0.8,2.3,37.0,1.7,1.8,0.3,1.0,1.3,1.5,0.1,0.0,1.1,2.2,Zalgiris,2012
